Dragnet_result,Newspaper_result,,Dragnet_score,Newspaper_score
1,1,https://actu.fr/bretagne/ploermel_56165/ploermel-action-gilets-jaunes-samedi-24-novembre-point-la-mi-journee_19745409.html,,
1,0,https://rmc.bfmtv.com/emission/jean-lassalle-en-gilet-jaune-a-l-assemblee-je-n-ai-pas-du-tout-le-sentiment-d-avoir-ete-ridicule-1571963.html,,
1,1,https://www.lexpress.fr/actualite/medias/vecu-le-media-des-gilets-jaunes-qui-cartonne_2056149.html,,
1,1,https://actu.fr/ile-de-france/buchelay_78118/yvelines-eric-yvelinois-coeur-la-manif-paris_19823471.html,,
1,1,https://www.peupledefrance.com/2018/11/gilets-jaunes-citoyens-en-ont-assez-pris-pigeons.html,,
1,1,https://actu.fr/centre-val-de-loire/nogent-le-rotrou_28280/nogent-rotrou-sous-prefet-recu-gilets-jaunes_20111943.html,,
"0,5",1,https://www.vosgesmatin.fr/edition-d-epinal/2018/12/08/vosges-deux-jours-en-garde-a-vue-a-paris-pour-un-gilet-jaune-avant-un-rappel-a-la-loi,,
1,1,https://www.causeur.fr/gilets-jaunes-quimper-etat-bureaucratie-157245,,
1,1,http://www.francesoir.fr/societe-faits-divers/boxeur-gilet-jaune-une-cagnotte-en-ligne-pour-le-soutenir,,
1,1,https://www.la-croix.com/France/Politique/Eric-Drouet-gilet-jaune-determine-controverse-2019-01-03-1300992995,,
1,1,https://www.rtl.fr/actu/justice-faits-divers/dordogne-les-voitures-d-une-deputee-rem-et-de-son-epoux-incendiees-7795862013,,
